operator_slug,source_operator_name,username,login_email,target_segment,total_wells,oil_wells,clearwater_wells,bluesky_wells,recommended_pilot,pilot_flag,onboarding_status,import_status,smoke_test_status,notes
imperial-oil-resources-limited,Imperial Oil Resources Limited,imperial-oil-resources-limited,imperial-oil-resources-limited@wellfi.local,oil-target,4109,4031,4109,0,,,planned,pending,pending,
canadian-natural-resources-limited,Canadian Natural Resources Limited,canadian-natural-resources-limited,canadian-natural-resources-limited@wellfi.local,oil-target,1777,1094,981,796,,,planned,pending,pending,
spur-petroleum-ltd,Spur Petroleum Ltd.,spur-petroleum-ltd,spur-petroleum-ltd@wellfi.local,oil-target,937,742,937,0,,,planned,pending,pending,
tamarack-valley-energy-ltd,Tamarack Valley Energy Ltd.,tamarack-valley-energy-ltd,tamarack-valley-energy-ltd@wellfi.local,oil-target,750,665,750,0,,,planned,pending,pending,
baytex-energy-ltd,Baytex Energy Ltd.,baytex-energy-ltd,baytex-energy-ltd@wellfi.local,oil-target,516,484,4,512,,,planned,pending,pending,
headwater-exploration-inc,Headwater Exploration Inc.,headwater-exploration-inc,headwater-exploration-inc@wellfi.local,oil-target,400,294,396,4,,,planned,pending,pending,
obsidian-energy-ltd,Obsidian Energy Ltd.,obsidian-energy-ltd,obsidian-energy-ltd@wellfi.local,oil-target,216,204,6,210,,,ready,imported,passed,Legacy rich workflow already onboarded.
strathcona-resources-ltd,Strathcona Resources Ltd.,strathcona-resources-ltd,strathcona-resources-ltd@wellfi.local,oil-target,384,191,384,0,,,planned,pending,pending,
rubellite-energy-inc,Rubellite Energy Inc.,rubellite-energy-inc,rubellite-energy-inc@wellfi.local,oil-target,124,122,123,1,yes,,planned,pending,pending,
ipc-canada-ltd,IPC Canada Ltd.,ipc-canada-ltd,ipc-canada-ltd@wellfi.local,oil-target,80,47,9,71,yes,,planned,pending,pending,
clear-north-energy-corp,Clear North Energy Corp.,clear-north-energy-corp,clear-north-energy-corp@wellfi.local,oil-target,42,31,42,0,yes,,planned,pending,pending,
woodcote-inc,Woodcote Inc.,woodcote-inc,woodcote-inc@wellfi.local,oil-target,14,14,14,0,yes,,planned,pending,pending,
rok-resources-inc,ROK Resources Inc.,rok-resources-inc,rok-resources-inc@wellfi.local,oil-target,16,13,0,16,yes,,planned,pending,pending,
cardinal-energy-ltd,Cardinal Energy Ltd.,cardinal-energy-ltd,cardinal-energy-ltd@wellfi.local,oil-target,15,13,13,2,yes,,planned,pending,pending,
saturn-oil-and-gas-inc,Saturn Oil & Gas Inc.,saturn-oil-and-gas-inc,saturn-oil-and-gas-inc@wellfi.local,oil-target,15,13,0,15,yes,,planned,pending,pending,
barrel-oil-corp,Barrel Oil Corp.,barrel-oil-corp,barrel-oil-corp@wellfi.local,oil-target,40,8,0,40,yes,,planned,pending,pending,
ish-energy-ltd,ISH Energy Ltd.,ish-energy-ltd,ish-energy-ltd@wellfi.local,oil-target,11,8,8,3,yes,,planned,pending,pending,
cenovus-energy-inc,Cenovus Energy Inc.,cenovus-energy-inc,cenovus-energy-inc@wellfi.local,oil-target,299,7,81,218,,,planned,pending,pending,
spoke-resources-ltd,Spoke Resources Ltd.,spoke-resources-ltd,spoke-resources-ltd@wellfi.local,oil-target,13,7,0,13,yes,,planned,pending,pending,
suncor-energy-inc,Suncor Energy Inc.,suncor-energy-inc,suncor-energy-inc@wellfi.local,oil-target,20,5,20,0,yes,,planned,pending,pending,
flywheel-resources-corp,Flywheel Resources Corp,flywheel-resources-corp,flywheel-resources-corp@wellfi.local,oil-target,4,4,4,0,,,planned,pending,pending,
tourmaline-oil-corp,Tourmaline Oil Corp.,tourmaline-oil-corp,tourmaline-oil-corp@wellfi.local,oil-target,229,2,0,229,,,planned,pending,pending,
andora-energy-corporation,Andora Energy Corporation,andora-energy-corporation,andora-energy-corporation@wellfi.local,oil-target,4,2,0,4,,,planned,pending,pending,
gran-tierra-canada-ltd,Gran Tierra Canada Ltd.,gran-tierra-canada-ltd,gran-tierra-canada-ltd@wellfi.local,oil-target,4,2,2,2,,,planned,pending,pending,
sccc-petroleum-corporation,SCCC Petroleum Corporation,sccc-petroleum-corporation,sccc-petroleum-corporation@wellfi.local,oil-target,2,2,0,2,,,planned,pending,pending,
paramount-resources-ltd,Paramount Resources Ltd.,paramount-resources-ltd,paramount-resources-ltd@wellfi.local,oil-target,101,1,0,101,yes,,planned,pending,pending,
conocophillips-canada-resources-corp,ConocoPhillips Canada Resources Corp.,conocophillips-canada-resources-corp,conocophillips-canada-resources-corp@wellfi.local,oil-target,5,1,5,0,,,planned,pending,pending,
islander-oil-and-gas-inc,Islander Oil & Gas Inc.,islander-oil-and-gas-inc,islander-oil-and-gas-inc@wellfi.local,oil-target,1,1,1,0,,,planned,pending,pending,
lineup-resources-corp,Lineup Resources Corp.,lineup-resources-corp,lineup-resources-corp@wellfi.local,oil-target,1,1,1,0,,,planned,pending,pending,
long-run-exploration-ltd,Long Run Exploration Ltd.,long-run-exploration-ltd,long-run-exploration-ltd@wellfi.local,gas-only-review,933,0,0,933,,,planned,pending,pending,
peyto-exploration-and-development-corp,Peyto Exploration & Development Corp.,peyto-exploration-and-development-corp,peyto-exploration-and-development-corp@wellfi.local,gas-only-review,306,0,0,306,,,planned,pending,pending,
tallahassee-exploration-inc,Tallahassee Exploration Inc.,tallahassee-exploration-inc,tallahassee-exploration-inc@wellfi.local,gas-only-review,87,0,0,87,,,planned,pending,pending,
sequoia-resources-corp,Sequoia Resources Corp.,sequoia-resources-corp,sequoia-resources-corp@wellfi.local,gas-only-review,59,0,59,0,,,planned,pending,pending,
vermilion-energy-inc,Vermilion Energy Inc.,vermilion-energy-inc,vermilion-energy-inc@wellfi.local,gas-only-review,24,0,0,24,,,planned,pending,pending,
whitecap-resources-inc,Whitecap Resources Inc.,whitecap-resources-inc,whitecap-resources-inc@wellfi.local,gas-only-review,24,0,0,24,,,planned,pending,pending,
arc-resources-ltd,ARC Resources Ltd.,arc-resources-ltd,arc-resources-ltd@wellfi.local,gas-only-review,20,0,0,20,,,planned,pending,pending,
cabot-energy-inc,Cabot Energy Inc.,cabot-energy-inc,cabot-energy-inc@wellfi.local,gas-only-review,16,0,0,16,,,planned,pending,pending,
greenfire-resources-operating-corporatio,Greenfire Resources Operating Corporation,greenfire-resources-operating-corporatio,greenfire-resources-operating-corporatio@wellfi.local,gas-only-review,15,0,15,0,,,planned,pending,pending,
outlier-resources-ltd,Outlier Resources Ltd.,outlier-resources-ltd,outlier-resources-ltd@wellfi.local,gas-only-review,15,0,0,15,,,planned,pending,pending,
axiom-oil-and-gas-inc,Axiom Oil and Gas Inc.,axiom-oil-and-gas-inc,axiom-oil-and-gas-inc@wellfi.local,gas-only-review,14,0,14,0,,,planned,pending,pending,
cnooc-petroleum-north-america-ulc,CNOOC Petroleum North America ULC,cnooc-petroleum-north-america-ulc,cnooc-petroleum-north-america-ulc@wellfi.local,manual-review,14,0,14,0,,,planned,pending,pending,
